"ID (do not edit)","Content type","Element type","Source language (PT)","Target language (EN)"
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""unique_elements"",""sequencePath"":[]}","TEXT","Import1","O uso da arquitetura como uma metáfora para os estágios do caminho espiritual. A demonstração do poder de um único ato de generosidade e da dedicação do mérito. A narrativa de uma vida passada como a causa direta das circunstâncias presentes.",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""transition"",""sequencePath"":[]}","TEXT","Import1","Ratnacūḍa humildemente admite que só conhece este portal da liberação e direciona Sudhana para encontrar o vendedor de perfumes Samantanetra na cidade de Samantamukha, na terra de Vetramūlaka.",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""miraculous_manifestations"",""sequencePath"":[]}","TEXT","Import1","A casa de dez andares é a principal manifestação. Cada andar representa um nível de prática: - Andares inferiores: Práticas fundamentais como a generosidade de comida e roupas. - Quinto andar: Bodhisattvas do quinto bhūmi discutindo os tratados. - Sexto andar: Bodhisattvas praticando a perfeição da sabedoria. - Sétimo andar: Bodhisattvas irreversíveis. - Oitavo andar: Bodhisattvas manifestando-se em todos os reinos. - Nono andar: Bodhisattvas em sua última vida. - Décimo andar: A visão completa de todos os Tathāgatas, desde suas primeiras aspirações até o parinirvāṇa.",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""chapter_title"",""sequencePath"":[]}","TEXT","Import1","RATNACŪḌA",
"{""contentId"":""32153f25-257d-488b-89fd-26e540a2004a"",""fieldId"":""name_translation"",""sequencePath"":[]}","TEXT","Import1","Coroa de Jóias",
"{""contentId"":""5b33e83c-6825-4c97-a1ed-70e76998aac7"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}","TEXT","wixui.ImageX","a3009f_829b490bf4f643fd9c842ec14c141ae0~mv2.png",
"{""contentId"":""5b33e83c-6825-4c97-a1ed-70e76998aac7"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}","TEXT","wixui.ImageX",,
"{""contentId"":""64c64fd5-5dbb-46d6-908a-1fafc9759254"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}","TEXT","wixui.ImageX","a3009f_d123ec6795c240d69ffe1f392bddabd8~mv2.png",
"{""contentId"":""64c64fd5-5dbb-46d6-908a-1fafc9759254"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}","TEXT","wixui.ImageX",,
"{""contentId"":""4eec3150-9038-4942-8471-8f15065c6ab4"",""fieldId"":""descPersonagem"",""sequencePath"":[]}","TEXT","Import2","Sudhana encontra Prabhūtā, uma jovem donzela de beleza estonteante, sentada em uma casa que, embora pareça simples, pode acomodar um número infinito de seres.",
"{""contentId"":""4eec3150-9038-4942-8471-8f15065c6ab4"",""fieldId"":""resumoDoCap84000Co"",""sequencePath"":[]}","TEXT","Import2","Sudhana encontra a jovem Prabhūtā em uma casa maravilhosa, vestindo um simples manto branco e sem jóias, com apenas um pequeno pote diante de si e nenhuma outra provisão em sua casa. Dez mil belas donzelas estão presentes como suas assistentes. Ela diz a Sudhana que alcançou a liberação bodhisattvica chamada a exibição incessante do tesouro do mérito. Através disso, ela é capaz de fornecer a incontáveis seres, em todas as direcções, tudo o que desejarem do seu pequeno pote.",
"{""contentId"":""4eec3150-9038-4942-8471-8f15065c6ab4"",""fieldId"":""capUrl"",""sequencePath"":[]}","TEXT","Import2","https://drive.google.com/file/d/1w4KsT08gEWVgqk8rm13D6t4I_pLSVLNY/view?usp=drive_link",
"{""contentId"":""4eec3150-9038-4942-8471-8f15065c6ab4"",""fieldId"":""qrCodeUrl"",""sequencePath"":[]}","TEXT","Import2","https://technosutra21.github.io/technosutra/?model=16",
"{""contentId"":""4eec3150-9038-4942-8471-8f15065c6ab4"",""fieldId"":""ocupacao"",""sequencePath"":[]}","TEXT","Import2","Mulher leiga",
"{""contentId"":""4eec3150-9038-4942-8471-8f15065c6ab4"",""fieldId"":""linkModel"",""sequencePath"":[]}","TEXT","Import2","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo16.glb",
"{""contentId"":""4eec3150-9038-4942-8471-8f15065c6ab4"",""fieldId"":""nome"",""sequencePath"":[]}","TEXT","Import2","Jayoṣmāyatana",
"{""contentId"":""555e812b-91f4-4da8-afdd-96a19a27489e"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}","TEXT","wixui.ImageX","dd258c_94406512baf540b8b6a2314edda74290~mv2.png",
"{""contentId"":""555e812b-91f4-4da8-afdd-96a19a27489e"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}","TEXT","wixui.ImageX","dragon-mouse_edited.png",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""location"",""sequencePath"":[]}","TEXT","Import1","A cidade de Bharukaccha, na região sul.",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""main_dialogue"",""sequencePath"":[]}","TEXT","Import1","O diálogo é extremamente breve. Sudhana pergunta, e Muktāsāra responde nomeando sua liberação e sua prática de buscar o Dharma, antes de humildemente se declarar incapaz de falar sobre a conduta de grandes bodhisattvas.",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""main_teaching"",""sequencePath"":[]}","TEXT","Import1","Muktāsāra afirma conhecer a liberação do bodhisattva chamada ""a exibição da memória pura e desimpedida"" (the display of pure unimpeded memory). Ele acrescenta que busca continuamente o Dharma aos pés dos tathāgatas nas dez direções.",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""assembly_present"",""sequencePath"":[]}","TEXT","Import1",,
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""context"",""sequencePath"":[]}","TEXT","Import1","Sudhana viaja para a cidade de Bharukaccha, encontra o ourives Muktāsāra, presta as homenagens e faz sua pergunta sobre como um bodhisattva deve treinar.",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""spiritual_progression"",""sequencePath"":[]}","TEXT","Import1","Sudhana aprende que a realização espiritual pode ser encontrada em pessoas de ofícios comuns, como um ourives. Ele também reencontra o nome de uma liberação que já ouviu antes (de Surendrābhā no cap. 45), sugerindo que as mesmas realizações podem ser encontradas e expressas por diferentes mestres.",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""unique_elements"",""sequencePath"":[]}","TEXT","Import1","'- O Mestre Artesão: Reforça o tema de que a sabedoria pode ser encontrada em qualquer profissão, não apenas em contextos monásticos ou divinos.",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""transition"",""sequencePath"":[]}","TEXT","Import1","Muktāsāra, afirmando conhecer apenas esta liberação, direciona Sudhana para a floresta ao lado da cidade, para encontrar um chefe de família (householder) chamado Sucandra, que possui uma ""casa que brilha continuamente"".",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""miraculous_manifestations"",""sequencePath"":[]}","TEXT","Import1","Nenhuma manifestação externa é descrita no texto. A liberação é nomeada, mas seus efeitos não são elaborados.",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""chapter_title"",""sequencePath"":[]}","TEXT","Import1","MUKTĀSĀRA",
"{""contentId"":""2f05aa78-f425-4058-8f9d-8c6980ecbed4"",""fieldId"":""name_translation"",""sequencePath"":[]}","TEXT","Import1","Essência da Liberação",
"{""contentId"":""5386d32e-822a-4e3d-8f68-3ffafe76e1a9"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_2"">​V&aacute; para o Sul!</p>","<p class=""font_2"">Go South!</p>"
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""location"",""sequencePath"":[]}","TEXT","Import1","Jetavana, no parque de Anāthapiṇḍada em Śrāvastī.",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""main_dialogue"",""sequencePath"":[]}","TEXT","Import1","Samantabhadra primeiro ensina em prosa e depois recita versos poéticos para reforçar os dez pontos. No final do capítulo, após as manifestações do Buda, Mañjuśrī também recita versos, observando e louvando os milagres que emanam da assembleia.",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""main_teaching"",""sequencePath"":[]}","TEXT","Import1","O Ensinamento de Samantabhadra revela que, no samādhi búdico, a consciência percebe simultaneamente budas infinitos em cada átomo, manifestações búdicas instantâneas em todos os reinos, emanações de cada poro corporal e a unificação de todos os campos búdicos através dos três tempos - demonstrando que a realização búdica é interpenetrante e infinitamente expansiva, onde cada parte contém o todo na ""igualdade"" essencial da existência.",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""assembly_present"",""sequencePath"":[]}","TEXT","Import1","A grande assembleia de bodhisattvas reunida em Jetavana. Eles não são apenas ouvintes passivos, mas participantes ativos que, após serem iluminados pela luz do Buda, manifestam seus próprios poderes miraculosos.",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""context"",""sequencePath"":[]}","TEXT","Import1","Após o Buda entrar no samādhi ""O Rugido do Leão"", o bodhisattva Samantabhadra assume a liderança para explicar a profundidade desse estado à assembleia.",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""spiritual_progression"",""sequencePath"":[]}","TEXT","Import1","O capítulo demonstra um processo pedagógico em três etapas: 1) Ensinamento teórico (Samantabhadra). 2) Confirmação experiencial (a luz do Buda e a visão da assembleia). 3) Expressão da realização (as emanações da própria assembleia, que passa a guiar ativamente outros seres).",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""unique_elements"",""sequencePath"":[]}","TEXT","Import1","'- A Estrutura dos Dez Ensinamentos: A apresentação altamente estruturada dos dez pontos é a espinha dorsal do capítulo.",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""transition"",""sequencePath"":[]}","TEXT","Import1","O capítulo solidifica a base cosmológica do sutra e prepara o terreno para a jornada que se seguirá, com a introdução do próximo kalyāṇamitra.",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""miraculous_manifestations"",""sequencePath"":[]}","TEXT","Import1","'- A Luz do Buda: Para confirmar o ensinamento, o Buda emite de sua ūrṇā (tufo de cabelo entre as sobrancelhas) um grande raio de luz chamado ""iluminação dos três tempos focada em todas as entradas para o reino do Dharma"". Essa luz ilumina todos os reinos do universo.",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""chapter_title"",""sequencePath"":[]}","TEXT","Import1","SAMANTABHADRA",
"{""contentId"":""419cf640-3501-4819-9a13-03173799ce5b"",""fieldId"":""name_translation"",""sequencePath"":[]}","TEXT","Import1","Completamente Bom",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""location"",""sequencePath"":[]}","TEXT","Import1","O Monte Potalaka, descrito como um paraíso terrestre, com pastagens verdejantes, nascentes cristalinas e florestas, onde Avalokiteśvara ensina em uma encosta.",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""main_dialogue"",""sequencePath"":[]}","TEXT","Import1","O diálogo é centrado na compaixão ativa. Após a saudação, Avalokiteśvara explica sua liberação e detalha as inúmeras maneiras pelas quais ele protege os seres do medo. Ele ensina que seu objetivo final é estabelecer todos os seres de forma irreversível no caminho para a iluminação completa.",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""main_teaching"",""sequencePath"":[]}","TEXT","Import1","O ""portal sem impedimentos da grande compaixão"". Este é o ensinamento central de Avalokiteśvara, que consiste em uma prática incessante para proteger e libertar todos os seres de todos os tipos de medo e sofrimento, sem exceção. Sua compaixão não é passiva, mas uma força ativa que se manifesta de inúmeras formas para guiar os seres.",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""assembly_present"",""sequencePath"":[]}","TEXT","Import1","Uma vasta assembleia de incontáveis bodhisattvas que estão sentados em rochas de joias, ouvindo o ensinamento sobre o amor e a compaixão. No final do capítulo, outro grande bodhisattva, Ananyagāmin, chega do leste de forma milagrosa, fazendo todo o mundo tremer e se transformar em joias.",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""context"",""sequencePath"":[]}","TEXT","Import1","Seguindo a direção de Veṣṭhila, Sudhana finalmente chega à morada de Avalokiteśvara. A visão do bodhisattva o enche de uma fé profunda, e ele reflete que encontrar um kalyāṇamitra é o mesmo que encontrar todos os budas. Avalokiteśvara o saúda, reconhecendo suas qualidades e sua aspiração.",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""spiritual_progression"",""sequencePath"":[]}","TEXT","Import1","Sudhana recebe o ensinamento sobre a compaixão em sua forma mais ativa e protetora. Ele aprende que a compaixão de um bodhisattva não é apenas um sentimento, mas uma força poderosa que pode intervir diretamente no mundo para aliviar o sofrimento. A chegada de Ananyagāmin expande ainda mais sua visão sobre as capacidades dos grandes bodhisattvas.",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""unique_elements"",""sequencePath"":[]}","TEXT","Import1","'- A Prece de Proteção: O capítulo contém a famosa prece e os versos de Avalokiteśvara, que se tornaram uma prática central em muitas tradições budistas para invocar proteção contra o medo e o perigo.",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""transition"",""sequencePath"":[]}","TEXT","Import1","Após seu ensinamento, Avalokiteśvara direciona Sudhana para seu próximo guia, o recém-chegado bodhisattva Ananyagāmin, para que ele possa continuar sua investigação sobre a conduta do bodhisattva.",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""miraculous_manifestations"",""sequencePath"":[]}","TEXT","Import1","Avalokiteśvara manifesta seu poder de várias maneiras. Ele aparece em formas adaptadas às necessidades de cada ser, usa os quatro meios de reunir discípulos (generosidade, palavras amáveis, benefício e consistência) e, o mais importante, oferece proteção contra todos os tipos de medo. Ele recita uma longa prece e versos detalhando como a simples recordação de seu nome pode salvar os seres de perigos físicos (prisão, execução, animais selvagens, fogo, água), sociais (disputas legais, má reputação) e espirituais (renascimentos inferiores, separação de entes queridos).",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""chapter_title"",""sequencePath"":[]}","TEXT","Import1","AVALOKITEŚVARA",
"{""contentId"":""67287062-f742-4dd2-8fbb-9df956c11808"",""fieldId"":""name_translation"",""sequencePath"":[]}","TEXT","Import1","Senhor que Ouve os Clamores do Mundo",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""location"",""sequencePath"":[]}","TEXT","Import1","O grande pavilhão (kūṭāgāra) chamado Vairocana-vyūhālaṃkāra-garbha, dentro do parque Mahāvyūha, na província de Samudrakaccha.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""main_dialogue"",""sequencePath"":[]}","TEXT","Import1","O capítulo é dominado por monólogos e louvores. Primeiro, a longa homenagem silenciosa e poética de Sudhana ao pavilhão. Em seguida, o louvor poético ainda mais longo de Maitreya a Sudhana. Somente após essa troca, Sudhana faz sua pergunta. A resposta de Maitreya é um convite para entrar na torre. O diálogo final ocorre depois que Sudhana sai da torre, onde Maitreya explica a natureza daquela liberação visionária.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""main_teaching"",""sequencePath"":[]}","TEXT","Import1","A liberação do bodhisattva chamada ""o tesouro do conhecimento que surge da entrada em todos os campos de samādhi e que está em conformidade com o campo da sabedoria sem impedimentos"". Em vez de um discurso, Maitreya ensina através de uma experiência direta. Ele estala os dedos, as portas do pavilhão se abrem, e ele convida Sudhana a entrar. A instrução é a própria visão dentro da torre.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""assembly_present"",""sequencePath"":[]}","TEXT","Import1","Uma vasta comitiva de centenas de milhares de devas, nāgas, yakṣas, Śakra, Brahmā e brâmanes acompanham Maitreya. A assembleia dentro da torre é cósmica e infinita, contendo todas as assembleias de todos os Budas dos três tempos.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""context"",""sequencePath"":[]}","TEXT","Import1","Sudhana chega ao portal do grande pavilhão e, compreendendo ser a morada de um grande bodhisattva, se engaja em uma longa e profunda meditação e reverência, louvando o pavilhão com uma extensa série de reflexões e um longo poema de 55 versos. Ele então vê Maitreya se aproximando de fora, acompanhado por uma vasta comitiva de deuses (liderados por Śakra e Brahmā) e brâmanes. Ao ver a aproximação de Sudhana, Maitreya se vira para sua comitiva e o louva extensivamente em 177 versos, exaltando sua perseverança, sua motivação pura e sua devoção aos kalyāṇamitras, apresentando-o como um modelo a ser seguido. Sudhana, emocionado, chora e faz oferendas. Só então ele formalmente pede a Maitreya que lhe ensine a conduta do bodhisattva.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""spiritual_progression"",""sequencePath"":[]}","TEXT","Import1","Este é o clímax da jornada de Sudhana. Ele não apenas ouve sobre a conduta do bodhisattva; ele a vivencia diretamente, integrando em um instante a totalidade do caminho percorrido por um ser próximo à iluminação completa. Ele transcende a aprendizagem conceitual para a realização experiencial, compreendendo a natureza holográfica e não-dual da realidade e do caminho do bodhisattva.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""unique_elements"",""sequencePath"":[]}","TEXT","Import1","'- A Torre de Maitreya: O símbolo mais poderoso do Sutra, representando a interpenetração de todos os fenômenos (Rede de Indra), o tempo e o espaço.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""transition"",""sequencePath"":[]}","TEXT","Import1","Maitreya, após explicar a visão da torre, diz a Sudhana que o que ele viu é apenas um aspecto da liberação do bodhisattva. Para a compreensão final, Maitreya o direciona de volta ao seu primeiro guia: ""Vá ao encontro de Mañjuśrī e pergunte a ele sobre a conduta suprema"". A jornada de Sudhana é assim levada a um círculo completo, retornando ao ponto de partida para a síntese final.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""miraculous_manifestations"",""sequencePath"":[]}","TEXT","Import1","O milagre central é a visão dentro do pavilhão de Maitreya. Sudhana vê que a torre é tão vasta quanto o céu, mas contém uma infinidade de outros pavilhões, cada um igualmente vasto, que não se obstruem mutuamente. Dentro dessa exibição holográfica, ele testemunha a totalidade da jornada de Maitreya ao longo de incontáveis kalpas: suas vidas passadas, seus encontros com Budas, suas práticas de todas as perfeições, seus votos e, finalmente, sua futura iluminação como o Buda Maitreya. Sudhana se vê participando de cada um desses eventos, vivenciando eons de prática em um instante. Ao sair, Maitreya explica que esta liberação transcende as noções de vir, ir, permanecer ou não permanecer, sendo um reflexo da natureza da sabedoria.",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""chapter_title"",""sequencePath"":[]}","TEXT","Import1","MAITREYA",
"{""contentId"":""5a7b46d0-4be6-434c-a2a8-6d077fdf160b"",""fieldId"":""name_translation"",""sequencePath"":[]}","TEXT","Import1","Amigo Amoroso",
"{""contentId"":""62a59070-582f-4446-b366-5f1a9ed6036b"",""fieldId"":""compFeatures.imageX.data.image.uri"",""sequencePath"":[]}","TEXT","wixui.ImageX","a3009f_deab6d259c324b5891e4472491e9befb~mv2.png",
"{""contentId"":""62a59070-582f-4446-b366-5f1a9ed6036b"",""fieldId"":""compFeatures.imageX.data.image.alt"",""sequencePath"":[]}","TEXT","wixui.ImageX",,
"{""contentId"":""170df470-64c9-42d5-90d9-b008b2caf1e1"",""fieldId"":""location"",""sequencePath"":[]}","TEXT","Import1","Uma floresta de árvores ashoka chamada Vicitra Dhvaja, na periferia da cidade de Nandihāra.",
"{""contentId"":""170df470-64c9-42d5-90d9-b008b2caf1e1"",""fieldId"":""main_dialogue"",""sequencePath"":[]}","TEXT","Import1","Após Sudhana apresentar-se formalmente e expressar suas vastas aspirações, Jayottama explica sua conduta onipresente. Ele detalha como ensina o Dharma em múltiplos reinos de existência para erradicar o sofrimento e guiar os seres para longe das ações não-virtuosas. Ele ensina sobre a criação e destruição dos mundos, os defeitos do saṃsāra e as qualidades da onisciência.",
"{""contentId"":""170df470-64c9-42d5-90d9-b008b2caf1e1"",""fieldId"":""main_teaching"",""sequencePath"":[]}","TEXT","Import1","O portal para a conduta de bodhisattva ""onipresente"" (omnipresent). A realização de Jayottama se baseia em ""milagres não-compostos baseados na ausência de existência"", o que lhe permite estar presente e ensinar simultaneamente em todos os reinos de existência. Seu ensinamento principal é a eliminação de todas as formas de ego, possessividade e apego como o caminho para a paz e a harmonia social.",
"{""contentId"":""170df470-64c9-42d5-90d9-b008b2caf1e1"",""fieldId"":""assembly_present"",""sequencePath"":[]}","TEXT","Import1","A assembleia é multifacetada. Fisicamente, ele está com milhares de chefes de família. No entanto, sua verdadeira assembleia é universal, composta por todos os seres nos incontáveis reinos onde ele se manifesta, incluindo devas, nāgas, humanos e até mesmo seres nos reinos infernais, cada um recebendo um ensinamento adaptado à sua condição.",
"{""contentId"":""170df470-64c9-42d5-90d9-b008b2caf1e1"",""fieldId"":""context"",""sequencePath"":[]}","TEXT","Import1","Sudhana encontra Jayottama no meio de uma assembleia cívica, rodeado por milhares de chefes de família. Eles estão discutindo os deveres cívicos, e Jayottama usa essa oportunidade para ensinar o Dharma. Ele representa a figura do líder social esclarecido, que integra a responsabilidade cívica com a prática espiritual.",
"{""contentId"":""170df470-64c9-42d5-90d9-b008b2caf1e1"",""fieldId"":""spiritual_progression"",""sequencePath"":[]}","TEXT","Import1","Sudhana aprende que a responsabilidade cívica e a liderança social não são separadas da prática espiritual, mas podem ser uma poderosa expressão dela. Ele testemunha como um bodhisattva pode usar sua sabedoria para criar harmonia e guiar uma sociedade inteira, operando em uma escala universal para o benefício de todos.",
"{""contentId"":""170df470-64c9-42d5-90d9-b008b2caf1e1"",""fieldId"":""unique_elements"",""sequencePath"":[]}","TEXT","Import1","Responsabilidade Cívica como Caminho Espiritual: O capítulo enfatiza a importância do engajamento social e da liderança esclarecida como uma forma de prática de bodhisattva.",
