Capítulo,PERSONAGEM CENTRAL,LOCALIZAÇÃO,CONTEXTO,ENSINAMENTO PRINCIPAL,MANIFESTAÇÕES MIRACULOSAS,DIÁLOGO PRINCIPAL,ASSEMBLEIA PRESENTE,PROGRESSÃO ESPIRITUAL,TRANSIÇÃO,ELEMENTOS ÚNICOS
CAPÍTULO 18: RATNACŪḌA,Ratnacūḍa - comerciante chefe e patrono do Dharma,Casa de dez andares no mercado de Siṃhapota,"Sudhana é levado à casa magnifica de Ratnacūḍa, onde cada andar revela diferentes aspectos da realização bodhisattva. A casa serve como mandala tridimensional dos estágios espirituais.","Liberação ""exposição sem impedimentos do campo da oração""; Visão estratificada dos níveis bodhisattva; Poder das orações passadas manifestando-se no presente; Oferta de incenso como causa de realizações infinitas",Casa de ouro com dez andares revelando diferentes realizações; Cada andar mostrando assembleia de bodhisattvas específicos; Visões de budas e seus atos completos no décimo andar; Nuvens perfumadas emanando ensinamentos,Investigação sobre as causas da boa fortuna de Ratnacūḍa; Narração da oferta de incenso a um tathāgata no passado; Dedicação tripla dos méritos para visão completa; Reconhecimento das limitações do próprio conhecimento,Primeiro andar: distribuição de comida e bebida; Quinto andar: bodhisattvas do quinto bhūmi; Sexto andar: bodhisattvas da perfeição da sabedoria; Décimo andar: visões de todos os tathāgatas,Demonstração dos estágios bodhisattva através de andares; Compreensão da continuidade causal através de kalpas; Realização da eficácia das ofertas aos budas; Visão direta da jornada completa búdica,"Orientação para Vetramūlaka; Encontro com Samanta netra, vendedor de perfumes; Movimento da visão para ação prática; Continuação do tema de oferendas e mérito",Arquitetura como representação de níveis espirituais; Cada andar como um estágio diferente de realização; Conexão causal através de eras cósmicas; Poder transformador de uma única oferta sincera
CAPÍTULO 19: SAMANTA NETRA,Samanta netra - vendedor de perfumes e curandeiro,Loja de perfumes no centro de Samanta mukha,Sudhana encontra um mercador especialista em perfumes e medicina que combina cura física com ensinamento espiritual. Ele representa a compaixão prática através da medicina e do conhecimento de fragrâncias sagradas.,"Portal do Dharma ""formas de perfume que satisfazem todos os seres""; Conhecimento médico completo de todas as doenças; Uso de perfumes para manifestar oferendas aos budas; Integração de cura física e espiritual",Nuvens de perfume formando palácios aéreos; Adoração de reinos búdicos através de fragrâncias; Cura de todas as doenças através de métodos diversos; Manifestação de ornamentos protetores para todos os seres,Explicação do conhecimento médico abrangente; Descrição dos métodos de cura e tratamento; Ensinamento do Dharma específico após cura física; Lista de perfumes sagrados e suas propriedades,Pacientes chegando das dez direções; Seres curados vestidos e adornados magnificamente; Beneficiários dos ensinamentos do Dharma; Assembleia universal através de nuvens de perfume,Eliminação de kleśas através de ensinamentos específicos; Desenvolvimento da aspiração bodhisattva após cura; Compreensão das perfecções através de analogias corporais; Realização através da generosidade dupla (material e espiritual),Direcionamento para Tāladhvaja; Encontro com o rei Anala; Movimento da medicina para liderança espiritual; Comparação com reis da medicina,Integração única de medicina e Dharma; Uso de perfumes como veículo de realização; Método holístico de cura física e espiritual; Conhecimento técnico como base para compaixão
CAPÍTULO 20: ANALA,Rei Anala - monarca que usa ilusões para ensinar,"Cidade de Tāladhvaja, no trono real e palácio","Sudhana testemunha execuções aparentemente cruéis sendo realizadas pelo rei, mas descobre que tudo são ilusões compassivas para educar seres violentos. O rei representa o uso hábil de meios extremos para beneficiar seres.","Liberação ""realização de ilusões""; Uso de manifestações ilusórias para corrigir comportamentos; Compaixão através de métodos aparentemente severos; Ensino sobre a natureza ilusória de todos os fenômenos",Ilusões de executores e execuções para educar; Transformação do ambiente do reino através de ilusões; Criação de cenários educativos através de aparições; Palácio luxuoso contrastando com cenas de execução,Questionamento inicial de Sudhana sobre métodos cruéis; Devas defendendo a sabedoria dos kalyāṇamitras; Explicação do rei sobre usar ilusões para educar; Demonstração da compaixão através de métodos aparentemente duros,Dez mil ministros dedicados ao rei; Executores ilusórios com aparência terrível; Criminosos ilusórios sendo punidos; Devas intervindo para orientar Sudhana,Compreensão de que métodos hábeis podem parecer cruéis; Realização da natureza ilusória dos fenômenos; Desenvolvimento de paciência para compreender paradoxos; Aceitação de que compaixão pode assumir formas inesperadas,Direcionamento para Suprabha; Encontro com Rei Mahāprabha; Contraste entre métodos de diferentes reis; Continuação do tema da liderança espiritual,Uso paradoxal de violência ilusória para ensinar não-violência; Teste da fé de Sudhana em seus mestres; Demonstração de que aparências podem enganar; Integração de terror e compaixão como métodos educativos
CAPÍTULO 21: MAHĀPRABHA,Rei Mahāprabha - monarca da cidade radiante,Cidade magnifica de Suprabha com arquitetura celestial,Sudhana entra em uma cidade de beleza indescritível onde Mahāprabha governa através do amor universal. O rei demonstra como o amor pode transformar completamente uma sociedade e até mesmo a natureza física.,"Conduta bodhisattva ""estandarte do grande amor""; Samādhi ""exercer poder sobre o mundo através da motivação de grande amor""; Transformação social através do amor incondicional; Governança através da compaixão em vez da força",Cidade tremendo em seis direções quando o rei entra em samādhi; Todos os seres experimentando felicidade simultânea; Animais tornando-se gentis uns com outros; Oferendas celestiais chovendo dos céus,Descrição da conduta do grande amor; Explicação de como o amor governa efetivamente; Demonstração prática do samādhi do amor; Reconhecimento das limitações do próprio conhecimento,Todos os habitantes da cidade como bodhisattvas Mahāyāna; Incontáveis oferendas dispostas em plataformas públicas; Quintilhões de donzelas preparadas para doação; Seres celestiais oferecendo chuvas de adornos,Compreensão do amor como poder transformador supremo; Realização de que amor verdadeiro elimina medo e violência; Experiência direta de harmonia social perfeita; Visão de como ambiente físico responde à compaixão,Direcionamento para Sthirā; Encontro com upāsikā Acalā; Movimento do amor social para sabedoria pessoal; Continuação do tema de liderança compassiva,Demonstração prática de sociedade baseada em amor; Resposta da natureza ao samādhi compassivo; Ofertas ilimitadas disponíveis gratuitamente; Transformação até mesmo de seres demoníacos através do amor
CAPÍTULO 22: ACALĀ,Upāsikā Acalā - jovem praticante leiga de beleza transcendente,Casa familiar em Sthirā,Sudhana encontra uma jovem cuja beleza e pureza superam todos os seres exceto budas e bodhisattvas consagrados. Ela representa a realização através da dedicação inabalável e sabedoria difícil de alcançar.,"Liberação ""essência da sabedoria difícil de alcançar""; Samādhi ""exposição da busca incansável pelo Dharma""; Conduta com comprometimento firme; Manutenção da igualdade de todos os fenômenos",Luz dourada emanando da casa purificando mentes; Samādhis sutis surgindo no contato com a luz; Visões de incontáveis budas em reinos de berilo; Fragrância incomparável superando todos os seres,Narrativa de encontro passado com Tathāgata Pralambabāhu; Descrição de eras de prática imaculada; Demonstração de poderes através de samādhi; Lista de realizações mantidas sem interrupção,Assembleia doméstica com qualidades transcendentes; Família apoiando a prática espiritual; Incontáveis budas aparecendo em visões; Seres purificados pela simples presença,Desenvolvimento de motivação inabalável através de kalpas; Manutenção de pureza mental através de todas as vidas; Realização de samādhis e retenções infinitas; Demonstração de continuidade espiritual através de eras,Direcionamento para Tosala em Amitatosala; Encontro com parivrājaka Sarvagamin; Movimento da sabedoria feminina para renúncia masculina; Preparação para ensinamentos sobre conduta itinerante,Pureza transcendente em contexto familiar comum; Continuidade da prática através de múltiplas vidas; Demonstração de que vida leiga pode atingir perfeição; Integração de beleza física com realização espiritual suprema
CAPÍTULO 23: SARVAGAMIN,Sarvagamin - parivrājaka (asceta andarilho),Topo da colina Sulabha próxima à cidade de Tosala,"Sudhana encontra o asceta no topo de uma colina brilhante ao anoitecer, cercado por dez mil brâmanes. Sarvagamin representa a realização através da vida itinerante e manifestação universal.","Conduta bodhisattva ""onipresente"" ou ""que vai a todos os lugares""; Samādhi ""luz da prática de todos os portais""; Poderes milagrosos não-compostos; Conhecimento da perfeição da sabedoria que alcança toda a base do Dharma",Brilho superior ao de Mahābrahmā; Manifestação de corpos adaptados às necessidades de cada ser; Presença simultânea em todos os reinos de existência; Aparência luminosa no topo da colina durante a noite,Explicação da conduta onipresente beneficiando todos os seres; Descrição de métodos variados adaptados a diferentes tipos de seres; Manifesto sobre beneficiar desde hereges até aspirantes ao Mahāyāna; Reconhecimento das limitações do próprio conhecimento,Dez mil brâmanes circum-ambulando; Seres de toda Jambudvīpa sendo beneficiados; Habitantes de Tosala recebendo ensinamentos adaptados; Seguidores das 96 variedades de visões heréticas,Benefício universal através de métodos hábeis variados; Adaptação da forma corporal às necessidades específicas; Ensinamento simultâneo em múltiplas dimensões; Transformação de visões errôneas em compreensão correta,"Direcionamento para Pṛthurāṣṭra; Encontro com Utpalabhūti, vendedor de perfumes; Movimento da presença onipresente para especialização aromática; Continuação do tema de benefício universal",Ênfase na vida itinerante como meio de realização; Manifestação simultânea em múltiplas localidades; Trabalho específico com convertimento de heréticos; Demonstração de ubiquidade compassiva através de formas adaptadas
CAPÍTULO 24: UTPALABHŪTI,Utpalabhūti - comerciante chefe especialista em perfumes,Terra de Pṛthurāṣṭra,Sudhana encontra um especialista em perfumes que conhece todos os tipos de fragrâncias e seus efeitos transformadores. Ele representa o conhecimento especializado aplicado ao benefício espiritual.,Conhecimento completo de todos os perfumes e suas propriedades; Uso de fragrâncias para transformação mental e espiritual; Perfumes específicos para diferentes realizações e estados; Aplicação de conhecimento técnico para fins dharmatológicos,Perfumes criando redes de nuvens perfumadas; Transformação corporal através de fragrâncias sagradas; Chuvas de água perfumada por sete dias; Aparecimento de exércitos celestiais através de aromas específicos,Catalogação detalhada de diferentes tipos de perfumes; Explicação dos efeitos específicos de cada fragrância; Descrição de perfumes que curam doenças e transformam estados mentais; Reconhecimento das limitações do próprio conhecimento especializado,Seres de toda Pṛthurāṣṭra beneficiando-se dos perfumes; Usuários transformados por fragrâncias específicas; Comunidade recebendo ensinamentos após transformação aromática; Diferentes classes de seres cada uma com seus perfumes específicos,Transformação de estados mentais através de meios sensoriais; Aplicação de conhecimento mundano para fins transcendentes; Preparação mental através de purificação aromática; Desenvolvimento de samādhis específicos através de fragrâncias,"Direcionamento para Kūṭāgāra; Encontro com Vaira, o marinheiro; Movimento do conhecimento terrestre para navegação oceânica; Preparação para ensinamentos sobre navegação espiritual",Especialização técnica extrema em uma área específica; Uso de estímulos sensoriais para transformação espiritual; Conhecimento enciclopédico de substâncias aromáticas; Demonstração de como perícia mundana pode servir fins sagrados
CAPÍTULO 25: VAIRA,Vaira - marinheiro experiente,Costa oceânica na cidade de Kūṭāgāra,"Sudhana encontra o marinheiro rodeado por mercadores, contando histórias do mar enquanto ensina sobre o oceano das qualidades búdicas. Ele representa a navegação através dos perigos do saṃsāra.","Conduta bodhisattva ""estandarte da grande compaixão""; Liberação ""lembrar de permanecer com audição e visão frutíferas""; Conhecimento completo de navegação oceânica; Aplicação de habilidades marítimas à jornada espiritual","Navegação sempre segura sem acidentes marítimos; Transformação dos ouvintes através de histórias do mar; Conhecimento preciso de todos os perigos oceânicos; Capacidade de levar seres ao ""oceano da onisciência""","Analogia entre navegação física e jornada espiritual; Explicação do conhecimento marítimo necessário; Descrição dos perigos do oceano de saṃsāra; Métodos para alcançar as ""ilhas de joias"" da realização",Cem mil comerciantes desejando ouvir histórias; Centenas de milhares de pessoas buscando orientação; Viajantes marítimos dependendo de sua expertise; Comunidade costeira beneficiando-se de seus serviços,"Desenvolvimento de coragem para enfrentar oceanos de dificuldades; Navegação segura através dos perigos do saṃsāra; Alcance das ""ilhas de joias"" da sabedoria; Retorno seguro com tesouros espirituais","Direcionamento para Nandihāra; Encontro com Jayottama, comerciante chefe; Movimento da navegação para administração comercial; Continuação do tema de expertise prática aplicada espiritualmente","Uso de metáforas marítimas para jornada espiritual; Conhecimento técnico de navegação como dharma; Tema de ""levar seres através"" dos perigos; Demonstração de como profissões perigosas podem servir à compaixão"
CAPÍTULO 26: JAYOTTAMA,Jayottama - comerciante chefe em assembleia cívica,"Floresta de árvores ashoka chamada Vicitra dhvaja, na periferia de Nandihāra",Sudhana encontra Jayottama cercado por milhares de chefes de família discutindo deveres cívicos. Ele representa a realização através da liderança social e administração pública esclarecida.,"Portal para conduta bodhisattva ""onipresente""; Poderes milagrosos não-compostos baseados na ausência de existência; Ensino do Dharma para eliminar toda forma de ego e apego; Aplicação universal de ensinamentos adaptados a diferentes reinos",Presença simultânea em incontáveis reinos de existência; Ensino adaptado a todos os tipos de seres; Transformação social através de liderança espiritual; Pacificação de conflitos em escala universal,Sudhana apresenta-se formalmente e expressa aspirações; Jayottama explica sua conduta onipresente; Descrição detalhada de ensino em múltiplos reinos; Reconhecimento das limitações do próprio conhecimento,Milhares de chefes de família decidindo deveres cívicos; Representantes de todos os reinos de existência beneficiados; Seres humanos e não-humanos recebendo ensinamentos adaptados; Comunidade engajada em questões sociais e espirituais,Integração de responsabilidades cívicas com realização espiritual; Liderança através da eliminação de ego e apego; Desenvolvimento de visão universal e compaixão prática; Harmonização entre vida social e prática bodhisattva,Direcionamento para Kaliṅgavana em Śroṇāparānta; Encontro com bhikṣuṇī Siṃha vijṛmbhitā; Movimento da liderança secular para vida monástica feminina; Preparação para ensinamentos sobre eliminação de orgulho,Ênfase na responsabilidade cívica como prática espiritual; Demonstração de liderança social esclarecida; Integração de questões mundanas com dharma; Presença onipresente como ideal de serviço público
CAPÍTULO 27: SIṂHA VIJṚMBHITĀ,Siṃha vijṛmbhitā - bhikṣuṇī (monja budista feminina),Parque Sūrya prabha em Kaliṅgavana,"Sudhana encontra uma monja no parque mais magnífico já descrito, ensinando simultaneamente a assembleias estratificadas conforme níveis espirituais. Ela representa a maestria pedagógica através da eliminação completa do orgulho.","Liberação bodhisattva ""erradicação de todo orgulho""; Samādhi ""concordância com todos os Dharmas""; Ensino simultâneo adaptado a cada nível espiritual; Oferendas mentais a incontáveis budas simultaneamente",Parque com arquitetura celestial inigualável; Tronos específicos para cada tipo de ser; Luz preenchendo todo o parque durante circum-ambulação; Presença simultânea diante de cada circum-ambulador,Descrição detalhada dos ensinamentos estratificados; Explicação da liberação da erradicação do orgulho; Demonstração de não-conceituação apesar das realizações; Reconhecimento das limitações comparativas,"Seres celestiais desde Śuddhāvāsa até Trāyastriṃśa; Bodhisattvas dos dez bhūmis recebendo ensinamentos específicos; Nāgas, yakṣas, gandharvas e outros seres não-humanos; Seres humanos e aspirantes aos três veículos",Ensino diferenciado conforme capacidade espiritual; Eliminação de orgulho através de realização não-conceitual; Demonstração de que realizações não geram ego; Oferendas mentais como prática de não-apego,Direcionamento para Ratnavyūha na terra de Durga; Encontro com cortesã Vasumitrā; Movimento da vida monástica para profissão controversa; Preparação para ensinamentos sobre transformação do desejo,Ensino simultâneo estratificado por níveis espirituais; Demonstração de perfeição pedagógica feminina; Parque como mandala arquitetônica de realização; Circum-ambulação revelando onipresença compassiva
CAPÍTULO 28: VASUMITRĀ,Vasumitrā - cortesã com poderes transformadores,"Casa magnífica em Ratnavyūha, terra de Durga",Sudhana encontra uma cortesã cuja beleza transcendente transforma o desejo em desapego através do contato. Ela representa a transformação de profissões aparentemente incompatíveis com a espiritualidade em meios hábeis supremos.,"Liberação bodhisattva ""realização completa da liberdade do desejo""; Transformação do desejo em samādhis específicos; Aparição conforme desejos de diferentes tipos de seres; Uso da atração física como veículo de liberação",Casa com dez muros sucessivos e jardins celestiais; Beleza transcendendo todos os seres do reino do desejo; Luz corporal iluminando todas as construções; Diferentes samādhis alcançados através de contatos específicos,Questionamento social sobre motivações de Sudhana; Defesa daqueles que conhecem suas qualidades espirituais; Explicação da liberação através da transformação do desejo; Narrativa de vidas passadas com Tathāgata Atyuccagāmin,Seguidores com aspiração única e méritos compartilhados; Seres de todos os reinos atraídos por sua beleza; Comunidade dividida entre críticos e defensores; Visitantes transformados através de diferentes tipos de contato,Transformação instantânea do desejo em desapego; Alcance de samādhis específicos através de contatos físicos; Demonstração de que atração pode ser veículo de liberação; Desenvolvimento de capacidade de ver além das aparências,"Direcionamento para Śubhapāraṃgama; Encontro com Veṣṭhila, adorador de relíquia; Movimento da transformação pessoal para devoção ritualística; Preparação para ensinamentos sobre veneração de objetos sagrados",Uso paradoxal de profissão controversa como dharma supremo; Transformação do desejo através da satisfação transcendente; Demonstração de que qualquer profissão pode ser veículo espiritual; Crítica social revelando preconceitos sobre realização espiritual
CAPÍTULO 29: VEṢṬHILA,,,,,,,,,,
CAPÍTULO 30: AVALOKITEŚVARA,,,,,,,,,,
CAPÍTULO 31: ANANYAGĀMIN,,,,,,,,,,
CAPÍTULO 32: MAHĀDEVA,Mahādeva – deva professor e guia espiritual,Cidade de Dvāravatī,"Sudhana chega à cidade em busca dos ensinamentos do deva Mahādeva, conhecido por guiar bodhisattvas nas práticas espirituais.",As características da liberação bodhisattva “rede de nuvens”; Incentivo à grande generosidade como forma de progresso espiritual; Métodos para alcançar virtudes supérfluas e guiar seres para o Dharma,Materialização de montanhas de riquezas e joias preciosas; Emanação de corpos ameaçadores para a transformação de seres apegados,"Sudhana pergunta sobre a conduta bodhisattva, Mahādeva ensina a liberação ""rede de nuvens""; Instrui sobre o uso das posses para atos meritórios e benefício de todos",Grande número de seres atraídos pela presença de Mahādeva; Bodhisattvas e devas aprendendo práticas de generosidade e dedicação,"Sudhana é direcionado ao próximo mestre, Sthāvarā, com foco no mérito e sabedoria; Ensino contínuo sobre as práticas de conduta e interações espirituais","Direcionamento para a terra de Magadha, encontro com a deusa Sthāvarā; Exploração contínua das práticas sábias e liberadoras",Conexão entre generosidade material e espiritual; Uso de imagética abundante de riquezas e transformações para ensinar o desapego
CAPÍTULO 33: STHĀVARĀ,"Sthāvarā – deusa da terra, guardiã das sementes de mérito","Bodhimaṇḍa, na terra de Magadha","Sudhana encontra Sthāvarā, que revela a ele os frutos de seus méritos passados e oferece sabedoria sobre preservação e proteção espiritual.",Liberação bodhisattva “essência da sabedoria invencível”; Conexão entre raízes de mérito e manifestações de iluminação; Métodos para compreender o alcance das aspirações e práticas passadas,Surgimento de tesouros subterrâneos como símbolo de méritos; Emanações de entidades para proteger e guiar seres desviados,Sudhana é instruído sobre a importância das raízes de mérito e a continuidade da prática; Sthāvarā compartilha suas próprias experiências e liberação adquirida,Conjunto harmonioso de uma bilhão de deusas da terra compartilhando sabedoria,"Sudhana é instruído a encontrar a próxima guia, Vāsantī; Integração do entendimento das raízes de mérito com práticas futures","Deslocamento para a cidade de Kapilavastu, próximo destino espiritual; Continuidade no caminho de iluminação e descobertas do insight bodhisattva",A reverência à terra e às raízes espirituais; Enfoque no poder do mérito acumulado ao longo de gerações
CAPÍTULO 34: VĀSANTĪ,"Vāsantī – deusa da noite, símbolo de sabedoria iluminadora",Cidade de Kapilavastu,"Sudhana chega à Kapilavastu ao anoitecer para aprender com Vāsantī, reconhecida pela liberação que dissipa as trevas da ignorância.",Liberação bodhisattva “portal que guia através da radiância do Dharma”; Métodos para proteger e inspirar seres a caminho da iluminação; Uso da sabedoria como meio para dar refúgio e guia,Visões de corpos liberados e emanações que engajam diversas práticas; Revelação de universos de sabedoria dentro dos poros de seu corpo,Vāsantī compartilha sua trajetória de liberação e os méritos acumulados; Inspira Sudhana à dedicação completa aos kalyāṇamitras,"Sem número específico, mas presença de grande poder espiritual e sabedoria",Ênfase na continuidade do caminho e orientação simultânea aos seres em trevas; Aumento constante da liberação por meio de práticas devocionais,Direcionamento para a deusa Samanta gambhīra śrī vimala prabhā; Continuidade no caminho de descobertas e práticas no bodhimaṇḍa,Imagens detalhadas de corpos purificados e suas emanantes diversas; Refugio e orientação como aspectos centrais do despertar bodhisattva.
CAPÍTULO 35: SAMANTAGAMBHĪRAŚRĪVIMALAPRABHĀ,"Samantagambhīraśrīvimalaprabhā - light of tranquil wisdom",Bodhimaṇḍa,"Sudhana approaches the goddess wishing to learn bodhisattva conduct.","Attainment of ten qualities for bodhisattva conduct and enlightenment.",Describes beauties and sounds in the realm of Samantagambhīraśrīvimalaprabhā,Explains the pathways towards enlightenment,"All beings present benefitting from teachings.",Progress in spiritual virtues and wisdom development,Transition to broader understanding of Mahāyāna teachings,Focuses on selflessness and interconnectedness of experiences.
CAPÍTULO 36: PRAMUDITANAYANAJAGADVIROCANĀ,"Pramuditanayanajagadvirocanā – eye of joyful manifestation",Realms of manifestation,"Path of engaging in the presence of kalyāṇamitras.",Achievement of the manifestation of the perfection of joy.,Outpouring of beautiful forms from countless pores,Explains connection between joy and enlightenment,"An assembly witnessing miraculous manifestations.",Highlights progression towards supreme joy,Transition towards understanding vastness of Samādhi,Emphasizes joyous expressions in diverging apparitions. 
